MatchId,Patch,QueueType,RankFk,GameDuration
EUW1_7567132816,15.20.717.2831,CLASSIC,8,1729
NA1_5433917115,15.24.732.64,CLASSIC,8,1177
NA1_5420099910,15.23.728.3286,CLASSIC,6,1808
KR_7936538194,15.23.728.3286,ARAM,0,1184
EUW1_7605462198,15.22.724.5161,CLASSIC,7,1450
NA1_5433994540,15.24.732.64,CLASSIC,8,1724
KR_8036153266,16.1.737.4870,CLASSIC,2,2184
EUW1_7574210267,15.20.719.545,CLASSIC,8,1510
NA1_5429480753,15.24.731.5210,CLASSIC,8,2072
EUW1_7578401546,15.21.720.925,CLASSIC,6,1611
KR_7974024879,15.24.733.6673,ARAM,0,2425
KR_8025532286,16.1.737.4870,CLASSIC,4,1728
KR_8036566696,16.1.737.4870,ARAM,0,1086
EUW1_7601226661,15.22.724.5161,CLASSIC,8,2019
EUW1_7602900865,15.22.724.5161,CLASSIC,7,2944
EUW1_7594696883,15.22.724.5161,CLASSIC,3,1762
KR_7988458319,15.24.734.7485,CLASSIC,0,1699
NA1_5427745014,15.24.730.7955,CLASSIC,8,912
EUW1_7571731868,15.20.719.545,CLASSIC,6,2320
NA1_5433682502,15.24.732.64,CLASSIC,8,1646
EUW1_7565947170,15.20.717.2831,CLASSIC,4,2405
NA1_5406805765,15.21.721.8442,CLASSIC,3,1795
KR_8029808249,16.1.737.4870,CLASSIC,3,76
NA1_5440054464,15.24.733.5841,CLASSIC,6,1405
EUW1_7567745570,15.20.717.2831,ARAM,5,1518
KR_7956597018,15.24.732.64,ARAM,0,765
NA1_5440828346,15.24.733.6673,ARAM,7,968
KR_7974971703,15.24.733.6673,CLASSIC,0,1960
KR_7988245916,15.24.734.7485,CLASSIC,0,1685
KR_8005774135,15.24.734.7485,ARAM,0,886
KR_7981343633,15.24.734.7485,CLASSIC,5,1898
EUW1_7536298384,15.18.710.2811,CLASSIC,8,635
KR_8028314818,16.1.737.4870,CLASSIC,3,1662
NA1_5422308996,15.23.728.3286,CLASSIC,2,1514
EUW1_7568514512,15.20.717.2831,ARAM,8,235
NA1_5429149046,15.24.731.2566,CLASSIC,2,1385
NA1_5416004815,15.22.724.5161,CLASSIC,2,1581
EUW1_7357836491,15.7.670.3172,CLASSIC,2,970
KR_8007155359,15.24.734.7485,CLASSIC,4,2081
NA1_5437829639,15.24.732.64,CLASSIC,2,1398
EUW1_7605974215,15.22.724.5161,CLASSIC,5,2167
NA1_5418729514,15.23.728.3286,CLASSIC,5,1541
EUW1_7557786669,15.19.715.1836,CLASSIC,5,2185
NA1_5374071632,15.18.710.2811,CLASSIC,5,1979
EUW1_7577445328,15.21.720.925,CLASSIC,4,2317
NA1_5428874944,15.24.730.7955,ARAM,5,1496
KR_8025785472,16.1.737.4870,CLASSIC,3,2044
KR_8030306671,16.1.737.4870,ARAM,4,920
NA1_5436264272,15.24.732.64,CLASSIC,8,1768
EUW1_7603736222,15.22.724.5161,CLASSIC,5,1621
EUW1_7569154104,15.20.719.545,CHERRY,6,1539
KR_8028631900,16.1.737.4870,ARAM,2,1739
