SummonerMatchId,SummonerFk,MatchFk,ChampionFk
131213,4602,EUW1_7603636426,202
131214,4602,EUW1_7602205651,202
131216,4602,EUW1_7601296372,222
131219,4602,EUW1_7597672470,21
131222,4602,EUW1_7580848466,121
131243,4603,EUW1_7607838909,78
131249,4603,EUW1_7606986012,238
131253,4603,EUW1_7606768889,136
131256,4603,EUW1_7601858585,887
131257,4603,EUW1_7601827833,5
131284,4604,EUW1_7607842717,950
131288,4604,EUW1_7606280639,147
131290,4604,EUW1_7606154200,62
131291,4604,EUW1_7605380485,54
131294,4604,EUW1_7603620032,517
131297,4604,EUW1_7603459561,85
131300,4604,EUW1_7602968223,36
131323,4605,EUW1_7607035116,432
131332,4605,EUW1_7603423666,80
131334,4605,EUW1_7603326196,555
131337,4605,EUW1_7602183493,25
131368,4606,EUW1_7606237046,41
131369,4606,EUW1_7606189902,41
131372,4606,EUW1_7605799133,23
131374,4606,EUW1_7605741047,64
131403,4607,EUW1_7602299189,16
131404,4607,EUW1_7600165812,555
131406,4607,EUW1_7598949898,131
131407,4607,EUW1_7598898210,555
131410,4607,EUW1_7598764210,555
131413,4607,EUW1_7596412928,555
131420,4607,EUW1_7594005100,103
131421,4607,EUW1_7593998015,7
131446,4608,EUW1_7607490050,10
131449,4608,EUW1_7607259694,10
131450,4608,EUW1_7606700336,10
131451,4608,EUW1_7606668053,10
131456,4608,EUW1_7606233622,10
131459,4608,EUW1_7605378755,10
131461,4608,EUW1_7605208519,24
131488,4609,EUW1_7607090147,101
131496,4609,EUW1_7606877221,115
131523,4610,EUW1_7607646846,516
131531,4610,EUW1_7603444674,14
131532,4610,EUW1_7602642833,75
131534,4610,EUW1_7601550715,122
131540,4610,EUW1_7600173962,24
131542,4610,EUW1_7600068557,14
131565,4611,EUW1_7607827282,901
131566,4611,EUW1_7607808182,25
131570,4611,EUW1_7606751495,80
131571,4611,EUW1_7605463775,14
131573,4611,EUW1_7605403402,80
131574,4611,EUW1_7605373710,80
131575,4611,EUW1_7605333729,80
131581,4611,EUW1_7602973736,25
131582,4611,EUW1_7602951490,56
131604,4612,EUW1_7606506493,34
131608,4612,EUW1_7605102949,901
131610,4612,EUW1_7605035788,92
131612,4612,EUW1_7603854502,9
131622,4612,EUW1_7598108456,106
131644,4613,EUW1_7605440354,105
131646,4613,EUW1_7605377570,157
131647,4613,EUW1_7605326698,64
131660,4613,EUW1_7583686960,111
131662,4613,EUW1_7561030134,25
131690,4614,EUW1_7606216489,78
131691,4614,EUW1_7606165666,89
131695,4614,EUW1_7605924712,517
131696,4614,EUW1_7605887421,33
131698,4614,EUW1_7605804157,201
131701,4614,EUW1_7605699965,202
131728,4615,EUW1_7607617475,910
131735,4615,EUW1_7607153836,10
131740,4615,EUW1_7606974291,910
131768,4616,EUW1_7588706975,27
131772,4616,EUW1_7587618731,432
131775,4616,EUW1_7573944202,902
131776,4616,EUW1_7573917034,141
